"","NO_","POI","NOMBRE_POI","ESPECIALID","DIRECCION","NUMEXT","INTERIOR","CP","SENAS","COLONIA","DELEGACION","SECTOR","LATITUDE","LONGITUDE","TIPO","PROY_CART","CREACION","ACTUALIZAC","COB1_STV","COB2_TOTEM","FUENTE","ID_ESTADO","IDENT_CATE","IDENT_SUBC","IDENT_POI","INFORMACIO"
"1","C5-25-00001","PANTEONES","PANTEON SANTA MARIA NATIVITAS ZACAPAN","PANTEON - CEMENTERIO","CAM A SANTA CECILIA","SN","SN",16450,"JUAN BADIANO","LOMAS DE TONALCO","XOCHIMILCO","TEPEPAN",19.24416402,-99.09682265,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16784","MC13368, MC13369, MC19132, MC19133","STREET VIEW",9,"VERDADERO",25,"C5-25-00001","PANTEON SANTA MARIA NATIVITAS ZACAPAN, CAM A SANTA CECILIA, JUAN BADIANO, LOMAS DE TONALCO, XOCHIMILCO"
"2","C5-25-00002","PANTEONES","PANTEON NUEVO TECACALANCO SANTA CRUZ","PANTEON - CEMENTERIO","QUETZALCOATL","SN","SN",16515,"LA CRUZ","TECACALANCO","XOCHIMILCO","TEPEPAN",19.237187,-99.067441,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19135","STREET VIEW",9,"VERDADERO",25,"C5-25-00002","PANTEON NUEVO TECACALANCO SANTA CRUZ, QUETZALCOATL, LA CRUZ, TECACALANCO, XOCHIMILCO"
"3","C5-25-00003","PANTEONES","PANTEON XILOTEPEC","PANTEON - CEMENTERIO","CARR A SANTIAGO","SN","SN",16030,"REFORMA Y 5 DE MAYO","LA NORIA TEPEPAN","XOCHIMILCO","LA NORIA",19.26040473,-99.12258539,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4249, 16865, 16864,4246","MC13416, MC13396, MC19121, MC19120, MC19119, MC13341, MC19124, MC19122, MC19123","STREET VIEW",9,"VERDADERO",25,"C5-25-00003","PANTEON XILOTEPEC, CARR A SANTIAGO, REFORMA Y 5 DE MAYO, LA NORIA TEPEPAN, XOCHIMILCO"
"4","C5-25-00004","PANTEONES","PANTEON PEÃ‘ON DE LOS BAÃ‘OS","PANTEON - CEMENTERIO","SOLES","SN","SN",15520,"HERMOSILLO","PENSADOR MEXICANO","VENUSTIANO CARRANZA","MOCTEZUMA",19.442623,-99.080706,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","11987, 3899","MC19117, MC19118","STREET VIEW",9,"VERDADERO",25,"C5-25-00004","PANTEON PEÃ‘ON DE LOS BAÃ‘OS, SOLES, HERMOSILLO, PENSADOR MEXICANO, VENUSTIANO CARRANZA"
"5","C5-25-00005","PANTEONES","PANTEON SAN ANDRES AHUAYUCAN","PANTEON - CEMENTERIO","NIÃ‘OS HEROES","SN","SN",16800,"ENTRE MATAMOROS Y MIGUEL","QUIRINO MENDOZA (SAN LUCAS XOCHIMANCA)","XOCHIMILCO","LA NORIA",19.22988994,-99.10898427,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC13418,MC19125,MC13440,MC13423","STREET VIEW",9,"VERDADERO",25,"C5-25-00005","PANTEON SAN ANDRES AHUAYUCAN, NIÃ‘OS HEROES, ENTRE MATAMOROS Y MIGUEL, QUIRINO MENDOZA (SAN LUCAS XOCHIMANCA), XOCHIMILCO"
"6","C5-25-00006","PANTEONES","PANTEON SAN FRANCISCO TLALNEPANTLA","PANTEON - CEMENTERIO","PROLONGACION REFORMA","SN","SN",16889,"","SAN FRANCISCO TLALNEPANTLA","XOCHIMILCO","LA NORIA",19.19362159,-99.12064888,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19126","STREET VIEW",9,"VERDADERO",25,"C5-25-00006","PANTEON SAN FRANCISCO TLALNEPANTLA, PROLONGACION REFORMA, , SAN FRANCISCO TLALNEPANTLA, XOCHIMILCO"
"7","C5-25-00007","PANTEONES","PANTEON SAN GREGORIO ATLAPULCO","PANTEON - CEMENTERIO","AVENIDA MEXICO ORIENTE","SN","SN",16600,"ENTRE ALTAVISTA Y CALVARI","SAN GREGORIO ATLAPULCO","XOCHIMILCO","TEPEPAN",19.25413928,-99.04810242,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16910","MC13509","STREET VIEW",9,"VERDADERO",25,"C5-25-00007","PANTEON SAN GREGORIO ATLAPULCO, AVENIDA MEXICO ORIENTE, ENTRE ALTAVISTA Y CALVARI, SAN GREGORIO ATLAPULCO, XOCHIMILCO"
"8","C5-25-00008","PANTEONES","PANTEON SAN JOSE","PANTEON - CEMENTERIO","SANTIAGO","SN","SN",8220,"ANDRES MOLINA E","SAN PEDRO","IZTACALCO","IZTACCIHUATL",19.392859,-99.13012,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","11400, 7774","MC6430, MC6452, MC19043, MC19046, MC6453, MC19045, MC6448, MC19044","STREET VIEW",9,"VERDADERO",25,"C5-25-00008","PANTEON SAN JOSE, SANTIAGO, ANDRES MOLINA E, SAN PEDRO, IZTACALCO"
"9","C5-25-00009","PANTEONES","PANTEON SAN LORENZO","PANTEON - CEMENTERIO","CAM A SAN LORENZO","SN","SN",16400,"CDA SANTA MARIA NATIVITAS","SAN LORENZO ATEMOAYA","XOCHIMILCO","TEPEPAN",19.23854131,-99.09966788,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4271","MC19130","STREET VIEW",9,"VERDADERO",25,"C5-25-00009","PANTEON SAN LORENZO, CAM A SAN LORENZO, CDA SANTA MARIA NATIVITAS, SAN LORENZO ATEMOAYA, XOCHIMILCO"
"10","C5-25-00010","PANTEONES","PANTEON SAN LUCAS XOCHIMANCA","PANTEON - CEMENTERIO","CAM AL MIRADOR","SN","SN",16810,"RIO SAN LUCAS","EL MIRADOR I","XOCHIMILCO","LA NORIA",19.23584362,-99.11008116,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC13631,MC19241","STREET VIEW",9,"VERDADERO",25,"C5-25-00010","PANTEON SAN LUCAS XOCHIMANCA, CAM AL MIRADOR, RIO SAN LUCAS, EL MIRADOR I, XOCHIMILCO"
